,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,用水类型,用电类型,燃气价格,卧室数,客厅数,卫生间数,楼层位置,总层数,得房率,是否有抵押,抵押金额,是否地铁,临近地铁站,是否电梯,产权类型
36,钱塘帝景,滨江区,彩虹城,nan,429,49012,2024-08-08,商品房,2014-08-13,普通住宅,满五年,共有,有抵押,已上传房本照片,2室2厅1厨1卫,高楼层(共45层),87.53,平层,66.75,板楼,南,钢混结构,精装,三梯六户,有,nan,nan,nan,nan,2,2,1,3,45,0.7625956814806352,1,0.0,0,0,1.0,1
37,海威天地,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,162,32728,2023-10-17,商品房,2022-07-12,商住两用,满两年,非共有,有抵押80万元,已上传房本照片,2室1厅1厨1卫,中楼层(共29层),49.5,nan,69.42,板楼,北,钢混结构,精装,七梯二十八户,有,nan,商水,商电,nan,2,1,1,2,29,1.4024242424242424,1,80.0,0,0,1.0,0
38,钱塘福苑,滨江区,浦沿,nan,210,22535,2024-11-27,商品房,2024-02-28,普通住宅,未满两年,共有,无抵押,已上传房本照片,2室2厅1厨1卫,中楼层(共28层),93.19,平层,69.42,板楼,南,钢混结构,毛坯,两梯四户,有,nan,nan,nan,nan,2,2,1,2,28,0.7449297134885717,0,0.0,0,0,1.0,1
39,臻奥院,滨江区,奥体,近地铁6号线奥体中心站,1160,84058,2023-11-25,商品房,2023-11-02,商住两用,未满两年,共有,无抵押,已上传房本照片,2室2厅1厨2卫,低楼层(共48层),138.0,平层,69.42,塔楼,西北,钢混结构,精装,两梯六户,有,nan,商水,商电,3.09元/m3,2,2,2,1,48,0.5030434782608696,0,0.0,1,奥体中心站,1.0,1
40,寰宇天下C区,滨江区,滨江区政府,近地铁6号线江陵路站,560,62696,2023-02-16,商品房,2015-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,2室1厅1厨2卫,中楼层(共33层),89.32,平层,69.78,板楼,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,2,1,2,2,33,0.7812360053739364,0,0.0,1,江陵路站,1.0,0
41,海威新界,滨江区,滨江区政府,近地铁6号线(杭富线)星民站,140,33501,2024-10-22,商品房,2024-10-21,商住两用,未满两年,共有,无抵押,已上传房本照片,2室1厅1厨1卫,低楼层(共20层),41.79,nan,69.42,板楼,西,钢混结构,精装,四梯三十七户,有,nan,商水,商电,nan,2,1,1,1,20,1.6611629576453697,0,0.0,1,星民站,1.0,1
42,南岸晶都花园,滨江区,长河,近地铁5号线聚才路站,320,31296,2023-12-16,商品房,2008-01-23,普通住宅,满五年,共有,无抵押,已上传房本照片,2室2厅1厨1卫,中楼层(共26层),102.25,平层,69.42,板楼,南,钢混结构,精装,两梯三户,有,nan,nan,nan,nan,2,2,1,2,26,0.6789242053789731,0,0.0,1,聚才路站,1.0,1
43,龙禧大酒店,滨江区,彩虹城,近地铁6号线(杭富线)伟业路站,240,33072,2024-09-01,商品房,2021-04-21,普通住宅,满两年,共有,无抵押,已上传房本照片,2室1厅1厨1卫,高楼层(共28层),72.57,平层,51.04,板楼,南,钢混结构,精装,两梯十八户,有,nan,nan,nan,nan,2,1,1,3,28,0.7033209315143999,0,0.0,1,伟业路站,1.0,1
44,钱塘帝景,滨江区,彩虹城,nan,510,56718,2024-12-08,商品房,2015-12-03,普通住宅,满五年,共有,有抵押,已上传房本照片,2室2厅1厨1卫,中楼层(共45层),89.92,平层,68.57,板楼,南北,钢混结构,其他,三梯六户,有,nan,nan,nan,nan,2,2,1,2,45,0.7625667259786476,1,0.0,0,0,1.0,1
45,湘云雅苑,滨江区,滨江区政府,nan,285,34897,2024-12-14,商品房,2024-10-11,普通住宅,未满两年,非共有,无抵押,已上传房本照片,2室2厅1厨1卫,低楼层(共6层),81.67,平层,69.42,板楼,南,钢混结构,简装,nan,nan,nan,nan,nan,nan,2,2,1,1,6,0.8500061221990939,0,0.0,0,0,0.0,0
